iter	Passed	Remaining
471	735	822
472	736	821
473	738	819
474	739	817
475	741	816
476	742	814
477	744	813
478	746	811
479	748	810
480	749	808
481	750	807
482	752	805
483	753	803
484	754	801
485	756	799
486	757	798
487	759	796
488	760	795
489	762	793
490	763	791
491	764	789
492	766	787
493	767	786
494	768	784
495	770	782
496	771	780
497	773	779
498	775	778
499	776	776
500	778	775
501	779	773
502	781	771
503	782	770
504	783	768
505	784	766
506	786	764
507	787	763
508	789	761
509	791	760
510	792	758
511	794	757
512	795	755
513	797	753
514	798	751
515	799	750
516	801	748
517	802	746
518	804	745
519	806	744
520	807	742
521	809	740
522	810	739
523	812	737
524	813	735
525	814	734
526	816	732
527	820	733
528	822	732
529	824	730
530	825	729
531	827	728
532	829	726
533	831	725
534	832	723
535	835	722
536	837	721
537	839	720
538	840	719
539	842	717
540	844	716
541	845	714
542	847	713
543	849	711
544	851	710
545	852	709
546	854	707
547	855	705
548	857	704
549	858	702
550	860	700
551	861	699
552	862	697
553	864	696
554	866	694
555	867	692
556	868	690
557	870	689
558	871	687
559	873	686
560	874	684
561	876	682
562	877	681
563	879	679
564	880	678
565	882	676
566	883	674
567	885	673
568	886	671
569	888	669
570	889	668
571	890	666
572	892	664
573	893	663
574	895	662
575	897	660
576	898	658
577	900	657
578	901	655
579	903	653
580	904	652
581	905	650
582	907	648
583	909	647
584	910	646
585	912	644
586	913	642
587	915	641
588	916	639
589	918	637
590	919	636
591	920	634
592	922	632
593	923	631
594	925	630
595	927	628
596	928	626
597	929	625
598	931	623
599	932	621
600	933	620
601	935	618
602	936	616
603	938	615
604	940	614
605	942	612
606	943	610
607	945	609
608	947	608
609	948	606
610	949	604
611	951	603
612	952	601
613	954	599
614	955	598
615	957	597
616	959	595
617	961	594
618	962	592
619	964	591
620	965	589
621	967	588
622	970	587
623	972	585
624	973	584
625	975	582
626	977	581
627	978	579
628	980	578
629	981	576
630	983	575
631	985	573
632	986	572
633	988	570
634	990	569
635	991	567
636	992	565
637	994	564
638	995	562
639	997	560
640	999	559
641	1001	558
642	1002	556
643	1003	554
644	1005	553
645	1006	551
646	1008	550
647	1009	548
648	1011	546
649	1012	545
650	1014	544
651	1016	542
652	1018	540
653	1019	539
654	1020	537
655	1021	535
656	1023	534
657	1024	532
658	1026	530
659	1027	529
660	1029	528
661	1031	526
662	1032	524
663	1033	523
664	1035	521
665	1036	519
666	1038	518
667	1039	516
668	1040	514
669	1042	513
670	1046	513
671	1048	511
672	1050	510
673	1051	508
674	1053	507
675	1055	505
676	1058	504
677	1060	503
678	1062	502
679	1063	500
680	1065	498
681	1066	497
682	1067	495
683	1068	493
684	1069	492
685	1071	490
686	1073	488
687	1075	487
688	1076	485
689	1077	484
690	1079	482
691	1080	480
692	1082	479
693	1083	477
694	1085	476
695	1086	474
696	1088	473
697	1090	471
698	1092	470
699	1093	468
700	1095	467
701	1096	465
702	1097	463
703	1099	462
704	1100	460
705	1102	459
706	1104	457
707	1105	456
708	1108	455
709	1110	453
710	1111	451
711	1113	450
712	1114	448
713	1116	447
714	1118	445
715	1119	444
716	1121	442
717	1122	441
718	1124	439
719	1127	438
720	1129	436
721	1131	435
722	1132	433
723	1135	432
724	1136	431
725	1138	429
726	1139	427
727	1140	426
728	1142	424
729	1143	423
730	1145	421
731	1147	419
732	1148	418
733	1150	416
734	1152	415
735	1153	413
736	1155	412
737	1156	410
738	1157	408
739	1159	407
740	1160	405
741	1162	404
742	1165	403
743	1166	401
744	1168	399
745	1169	398
746	1171	396
747	1172	395
748	1173	393
749	1174	391
750	1176	389
751	1178	388
752	1180	387
753	1181	385
754	1183	383
755	1184	382
756	1185	380
757	1187	379
758	1188	377
759	1190	375
760	1191	374
761	1194	372
762	1195	371
763	1197	369
764	1198	368
765	1200	366
766	1202	365
767	1203	363
768	1205	362
769	1206	360
770	1208	359
771	1210	357
772	1212	355
773	1213	354
774	1215	352
775	1216	351
776	1218	349
777	1219	347
778	1221	346
779	1222	344
780	1224	343
781	1225	341
782	1227	340
783	1228	338
784	1229	336
785	1231	335
786	1232	333
787	1233	331
788	1235	330
789	1236	328
790	1238	327
791	1240	325
792	1241	324
793	1243	322
794	1245	321
795	1247	319
796	1248	318
797	1250	316
798	1251	314
799	1254	313
800	1255	311
801	1257	310
802	1258	308
803	1261	307
804	1262	305
805	1264	304
806	1265	302
807	1267	301
808	1270	299
809	1271	298
810	1273	296
811	1275	295
812	1277	293
813	1279	292
814	1280	290
815	1282	289
816	1284	287
817	1286	286
818	1287	284
819	1289	283
820	1290	281
821	1292	279
822	1293	278
823	1294	276
824	1296	275
825	1299	273
826	1300	272
827	1302	270
828	1303	268
829	1304	267
830	1306	265
831	1307	264
832	1309	262
833	1310	260
834	1312	259
835	1314	257
836	1316	256
837	1317	254
838	1319	253
839	1320	251
840	1321	249
841	1323	248
842	1324	246
843	1326	245
844	1328	243
845	1329	242
846	1331	240
847	1333	238
848	1335	237
849	1337	235
850	1338	234
851	1340	232
852	1341	231
853	1343	229
854	1344	228
855	1346	226
856	1347	224
857	1349	223
858	1351	221
859	1353	220
860	1354	218
861	1356	217
862	1357	215
863	1359	213
864	1360	212
865	1362	210
866	1363	209
867	1365	207
868	1367	206
869	1369	204
870	1370	202
871	1371	201
872	1373	199
873	1374	198
874	1375	196
875	1377	194
876	1378	193
877	1381	191
878	1382	190
879	1384	188
880	1385	187
881	1387	185
882	1388	183
883	1389	182
884	1391	180
885	1392	179
886	1393	177
887	1396	176
888	1397	174
889	1399	172
890	1400	171
891	1401	169
892	1402	168
893	1404	166
894	1406	165
895	1408	163
896	1411	162
897	1413	160
898	1414	158
899	1416	157
900	1417	155
901	1419	154
902	1420	152
903	1422	151
904	1423	149
905	1425	147
906	1427	146
907	1428	144
908	1430	143
909	1431	141
910	1433	140
911	1434	138
912	1436	136
913	1437	135
914	1438	133
915	1441	132
916	1442	130
917	1443	128
918	1445	127
919	1446	125
920	1447	124
921	1449	122
922	1450	121
923	1452	119
924	1453	117
925	1455	116
926	1456	114
927	1458	113
928	1459	111
929	1461	109
930	1462	108
931	1463	106
932	1465	105
933	1466	103
934	1467	102
935	1469	100
936	1471	98
937	1472	97
938	1473	95
939	1475	94
940	1476	92
941	1478	91
942	1479	89
943	1481	87
944	1482	86
945	1483	84
946	1485	83
947	1487	81
948	1488	80
949	1490	78
950	1491	76
951	1493	75
952	1494	73
953	1495	72
954	1497	70
955	1498	68
956	1500	67
957	1502	65
958	1504	64
959	1506	62
960	1507	61
961	1509	59
962	1511	58
963	1512	56
964	1514	54
965	1516	53
966	1518	51
967	1519	50
968	1521	48
969	1522	47
970	1524	45
971	1525	43
972	1526	42
973	1528	40
974	1529	39
975	1532	37
976	1533	36
977	1535	34
978	1536	32
979	1537	31
980	1539	29
981	1540	28
982	1541	26
983	1543	25
984	1545	23
985	1547	21
986	1549	20
987	1551	18
988	1552	17
989	1553	15
990	1555	14
991	1556	12
992	1558	10
993	1559	9
994	1561	7
995	1563	6
996	1565	4
997	1566	3
998	1568	1
999	1569	0
